DAY,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,TEMP
1983-07-01,54.45,36.36,195.68,11810000.0,16.15,23.13,20.317674520668632,1.1400000000000001,0.28351158577635993,0.25052606282037676,0.23776882744548225,1.72,19.55
1983-07-02,54.45,36.36,195.68,19080000.0,15.81,24.61,19.77375383543133,0.199,0.4274653860743043,0.37365850299571396,0.35449331880426344,1.43,20.51
1983-07-03,54.45,36.36,195.68,17960000.0,16.47,25.16,19.673978629788927,0.687,0.4079595549844123,0.35680417020148186,0.34548900147973066,0.95,21.06
1983-07-04,54.45,36.36,195.68,24160000.0,15.4,23.13,18.5460402288749,0.059,0.5200146696234067,0.4529711643104367,0.4087706817496087,2.26,19.44
1983-07-05,54.45,36.36,195.68,19980000.0,11.74,21.68,15.264212494064902,0.041999999999999996,0.44230278271955337,0.38941390636543755,0.3553319477471903,3.52,17.07
1983-07-06,54.45,36.36,195.68,10660000.0,10.6,18.66,14.03488984238124,1.426,0.2844130083732793,0.2573712105005949,0.22959323737192464,5.11,14.66
1983-07-07,54.45,36.36,195.68,9400000.0,12.36,16.78,15.164879528336124,0.678,0.20918753694033337,0.185372713520139,0.16729962982238103,2.52,14.65
1983-07-08,54.45,36.36,195.68,11840000.0,10.84,18.79,14.899509097664987,0.22200000000000003,0.25238950361731743,0.2222355695575248,0.21116306578638935,2.13,15.23
1983-07-09,54.45,36.36,195.68,15120000.0,10.62,18.53,14.41883005740874,0.387,0.28897022729679667,0.2506597176376175,0.2479578458360959,0.86,15.51
1983-07-10,54.45,36.36,195.68,10620000.0,12.37,20.16,15.596075032898602,0.34199999999999997,0.2330695479963029,0.20520327080620246,0.20661932584408169,0.79,16.77
1983-07-11,54.45,36.36,195.68,18830000.0,12.51,23.75,17.108435536571477,0.081,0.39659472183915645,0.3453915157653612,0.3379856535195882,1.45,19.06
1983-07-12,54.45,36.36,195.68,14150000.0,15.28,23.91,20.075743207858253,0.437,0.32252451231340407,0.2830338155080804,0.27104362220495654,1.54,19.7
1983-07-13,54.45,36.36,195.68,21310000.0,15.44,25.03,19.549879848189867,0.20800000000000002,0.4491991328661579,0.38907843215541593,0.3785259722578025,0.58,20.8
1983-07-14,54.45,36.36,195.68,19660000.0,16.81,25.54,20.151868587932515,0.23399999999999999,0.43541265389014017,0.37908960299847194,0.36681932328006556,0.8,21.6
1983-07-15,54.45,36.36,195.68,12670000.0,16.95,23.3,19.873971889021355,0.35,0.29418614322492026,0.25850664591994177,0.2527987273341177,0.83,20.33
1983-07-16,54.45,36.36,195.68,20660000.0,14.87,24.68,18.41645130417793,0.073,0.4516990994187631,0.3938621939599951,0.3792017403481615,1.65,19.81
1983-07-17,54.45,36.36,195.68,15080000.0,13.62,23.6,17.29650853217458,0.22599999999999998,0.36417409674191914,0.3228093462005763,0.3147110417943785,2.85,18.66
1983-07-18,54.45,36.36,195.68,24520000.0,12.81,21.04,14.676677273020353,0.008,0.48808703429930256,0.4229083793040099,0.400144668562899,2.11,17.27
1983-07-19,54.45,36.36,195.68,24370000.0,11.94,22.77,14.715219133359465,0.0,0.47407781680450417,0.4087616322283688,0.4048243550648064,1.32,18.08
1983-07-20,54.45,36.36,195.68,16379999.999999998,13.88,23.17,16.544237564066975,0.04,0.38880568216085776,0.34394362936870115,0.3358418215555016,2.73,18.13
1983-07-21,54.45,36.36,195.68,10660000.0,10.97,19.69,14.638224073468288,0.313,0.2510725800958715,0.22362852812620834,0.2207635330938746,2.67,14.95
1983-07-22,54.45,36.36,195.68,11200000.0,8.25,14.99,11.45735814405156,0.23900000000000002,0.24191150137868567,0.2153901108840822,0.19795546830586092,3.39,11.86
1983-07-23,54.45,36.36,195.68,15980000.0,7.46,17.08,11.535008378090502,0.076,0.29484489201580194,0.2564085467766759,0.2533173077562695,1.88,13.16
1983-07-24,54.45,36.36,195.68,17460000.0,10.61,17.9,12.850510825388508,0.153,0.3262145309780665,0.28228002774470995,0.2793271427666534,1.33,14.18
1983-07-25,54.45,36.36,195.68,9580000.0,9.88,15.7,12.962267777991505,0.29700000000000004,0.19654405589642265,0.17321877242867129,0.1697716101844685,1.68,12.81
1983-07-26,54.45,36.36,195.68,14110000.0,10.16,18.65,14.15564293531423,0.11299999999999999,0.273117394851791,0.23749672012425466,0.23304301467085847,1.63,15.28
1983-07-27,54.45,36.36,195.68,12670000.0,12.84,22.56,16.257777375214264,0.052000000000000005,0.283990986701535,0.24981152902218784,0.2550170010172724,1.42,18.32
1983-07-28,54.45,36.36,195.68,15480000.0,13.35,22.26,16.835115280330896,0.028999999999999998,0.3354199312038576,0.29357815210450044,0.28712035328688895,2.02,18.2
1983-07-29,54.45,36.36,195.68,21380000.0,12.86,22.92,15.384165520888633,0.002,0.4283107425460722,0.37043020357705636,0.36971680843883287,1.54,18.15
1983-07-30,54.45,36.36,195.68,23150000.0,11.57,23.55,16.090084391753955,0.087,0.45307125110450996,0.39078400560539733,0.3832814557182365,1.94,18.39
1983-07-31,54.45,36.36,195.68,10370000.0,14.23,19.19,16.791741295370016,0.729,0.23359485382232376,0.20614452109999237,0.19617473818369038,2.2,16.81
1983-08-01,54.45,36.36,195.68,22680000.0,12.78,21.07,15.046429284549914,0.01,0.45330642283584216,0.39301882514851594,0.369763470455278,2.74,16.85
1983-08-02,54.45,36.36,195.68,20740000.0,10.78,23.11,15.515047485173405,0.003,0.3890114898980102,0.33385943030503984,0.33807924369304493,1.09,18.14
1983-08-03,54.45,36.36,195.68,19800000.0,12.26,21.48,16.352776809588367,0.003,0.37759255656945917,0.3250165985271094,0.31400677587563763,1.73,17.61
1983-08-04,54.45,36.36,195.68,22930000.0,10.05,22.49,15.954953161735252,0.006,0.4189621942931307,0.35878917979116937,0.346994739687986,1.96,17.13
1983-08-05,54.45,36.36,195.68,18790000.0,13.22,23.68,16.683734817424842,0.005,0.39255460571002415,0.34116158068168867,0.34105685744483216,2.01,18.91
1983-08-06,54.45,36.36,195.68,17680000.0,14.13,25.68,17.9059959104506,0.01,0.375356888123875,0.3257530399476541,0.332617070125408,1.23,20.73
1983-08-07,54.45,36.36,195.68,19940000.0,15.8,26.7,18.136462757016275,0.011,0.41871524538771626,0.36152168810758484,0.3663241792895643,0.84,21.8
1983-08-08,54.45,36.36,195.68,18720000.0,14.29,24.06,17.84878187158371,0.038,0.40883456829546505,0.3569685165042087,0.3470370857769007,2.79,19.49
1983-08-09,54.45,36.36,195.68,22820000.0,12.49,23.41,16.299939408502727,0.28700000000000003,0.46655433126793877,0.40470671832811844,0.38702790613494564,3.33,18.24
1983-08-10,54.45,36.36,195.68,20520000.0,13.93,24.83,17.723474716742157,0.022,0.4357652049744966,0.3787087083839068,0.37455465204696425,2.58,19.66
1983-08-11,54.45,36.36,195.68,10400000.0,16.1,23.49,18.334399372925645,0.101,0.2669551756029171,0.23783084969627924,0.24586134716863076,2.06,19.18
1983-08-12,54.45,36.36,195.68,18900000.0,14.24,24.73,17.61022898120093,0.16899999999999998,0.4045298530439931,0.3518823120792415,0.3545710316734764,2.31,19.37
1983-08-13,54.45,36.36,195.68,11740000.0,14.47,21.35,18.676427463291382,0.38,0.24366041604758343,0.21186577552136948,0.2058907496431676,1.82,18.2
1983-08-14,54.45,36.36,195.68,7490000.0,11.04,18.87,14.948341934243478,0.175,0.18375847719257923,0.1646264083087841,0.1667380482518459,3.17,15.51
1983-08-15,54.45,36.36,195.68,16850000.0,8.12,16.87,10.381988066138694,0.006,0.32498585325649815,0.28424114269971307,0.28880534095785093,3.17,12.48
1983-08-16,54.45,36.36,195.68,14110000.0,7.93,20.87,12.663312198754275,0.001,0.32062111538866733,0.2850042931644999,0.29360537730214054,3.82,14.78
1983-08-17,54.45,36.36,195.68,21640000.0,10.38,22.97,15.13519049488702,0.0,0.43079095205009554,0.3735471032731788,0.3632335123541811,3.85,17.21
1983-08-18,54.45,36.36,195.68,9760000.0,14.08,22.07,18.00938636574188,0.8949999999999999,0.22167275685297017,0.19515980822781337,0.2000937120162068,2.09,17.87
1983-08-19,54.45,36.36,195.68,17390000.0,11.45,20.37,14.362073910326803,0.009,0.3235247794764132,0.27821868159292207,0.28426149459383154,2.2,16.06
1983-08-20,54.45,36.36,195.68,15590000.0,10.25,20.28,13.507098424529122,0.018,0.2937905447241803,0.25370849411594254,0.26856692610024985,2.13,15.63
1983-08-21,54.45,36.36,195.68,15370000.0,9.35,18.07,11.97846559420663,0.01,0.28977433100360106,0.25156047167368994,0.26151664085790255,2.74,13.6
1983-08-22,54.45,36.36,195.68,18430000.0,9.29,19.36,12.3621552243184,0.009,0.3248230273586388,0.2783770970487095,0.2930844097106543,2.48,14.03
1983-08-23,54.45,36.36,195.68,21170000.0,7.04,19.95,12.083530100396372,0.001,0.32482358810889145,0.2724422316291436,0.29399108032001064,1.46,14.25
1983-08-24,54.45,36.36,195.68,15300000.0,10.2,22.23,14.552027641178181,0.003,0.2995965687132592,0.25949027249296985,0.2820631185009729,2.59,16.53
1983-08-25,54.45,36.36,195.68,13720000.0,8.71,16.44,11.96237334166842,0.10200000000000001,0.24130103839245387,0.20806264348017275,0.21280281167274523,2.73,13.08
1983-08-26,54.45,36.36,195.68,12670000.0,6.53,15.28,9.540507449651436,0.05500000000000001,0.23172317847741902,0.20224702815621248,0.22138507117878808,2.53,11.21
1983-08-27,54.45,36.36,195.68,10730000.0,4.91,14.01,9.854672376331152,0.127,0.17648553203393763,0.152439338845156,0.16555938864964376,2.2,10.1
1983-08-28,54.45,36.36,195.68,11230000.0,4.73,13.83,9.126910928201541,0.391,0.19050705498829487,0.165461328570339,0.1824303403179083,2.34,9.84
1983-08-29,54.45,36.36,195.68,9500000.0,8.01,15.15,11.189191652204668,0.321,0.2037346303846442,0.1812607494741449,0.1829873700643748,4.02,11.57
1983-08-30,54.45,36.36,195.68,8600000.0,7.59,15.76,10.611345653967966,0.043,0.19087251612649775,0.17048058892959544,0.1883929209180953,2.9,11.19
1983-08-31,54.45,36.36,195.68,10620000.0,7.45,19.11,11.922225867310255,0.002,0.23323089667815894,0.2070810128679327,0.23572802875658452,3.75,13.79
1983-09-01,54.45,36.36,195.68,18110000.0,7.48,19.95,11.994576882851018,0.008,0.31640694997938695,0.27137571226123797,0.29491480270875814,3.56,14.08
1983-09-02,54.45,36.36,195.68,21100000.0,4.61,17.78,9.580115811665943,0.0,0.29917794440346956,0.24973308850072745,0.2706627038706122,1.71,11.26
1983-09-03,54.45,36.36,195.68,19260000.0,5.53,19.97,10.568004417234311,0.0,0.2794374373620202,0.23258691092032655,0.26815105080023877,1.43,12.98
1983-09-04,54.45,36.36,195.68,17140000.0,6.84,22.55,11.341745065867094,0.0,0.32870590387295245,0.285165450973625,0.3124114413223645,2.28,14.4
1983-09-05,54.45,36.36,195.68,12820000.0,8.53,23.63,13.696145614287785,0.024,0.27756920198928475,0.2440545732141517,0.27197862904134623,2.4,16.12
1983-09-06,54.45,36.36,195.68,10440000.0,11.64,19.99,15.016943929164366,0.073,0.19505037115439738,0.1679034594929109,0.18783107194492643,1.93,15.49
1983-09-07,54.45,36.36,195.68,10910000.0,9.46,18.56,13.092278818688888,0.044,0.1734441065290479,0.1461381520218642,0.17001500832092545,0.96,14.14
1983-09-08,54.45,36.36,195.68,3560000.0,9.48,13.83,12.799216975872639,3.1399999999999997,0.0804136976699906,0.07197649461734246,0.08463323160508576,3.09,11.56
1983-09-09,54.45,36.36,195.68,8210000.000000001,7.81,13.65,10.532005851480797,0.123,0.17736999198701572,0.15835390366664975,0.1634326200785024,4.32,10.38
1983-09-10,54.45,36.36,195.68,7090000.0,6.83,15.99,10.705788877960131,0.036,0.16236027573542336,0.1456573879620748,0.17110092280821976,3.23,11.05
